一番,いちばん,number one
二月一日,にがつついたち,1st of february
一人,ひとり,one person
一口,ひとくち,a morstle
一山,ひとやま,a pile of someting
一れつ,いちれつ,one line
右手,みぎて,right hand
左右を見る,さゆうをみる,look left and right
車が右せつする,くるまがうせつする,car is turning right
雨がさ,あまがさ,rain umbrella
雨がっぱ,あまがっぱ,raincoat
雨天,うてん,rainy weather
大雨,おおあめ,heavy rain
一円玉,いちえんだま,one yen coin
空とぶ円ばん,そらとぶえんばん,flying saucer
円く,まるく,circle
冂,どうがまえ,open box radical
王国,おうこく,kingdom
王子さま,おうじさま,prince
王,おう,king
足音,あしおと,sound of footsteps
音楽,おんがく,music
ふく音,ふくいん,good news
音色,ねいろ,good tone
地下,ちか,underground
下校,げこう,school leaving time
足下,あしもと,around ones foot
川下に,かわしもに,downstream
下る,くだる,to decend
下ろす,下ろす,to lower
草花,くさばな,ornamental plant
花瓶,かびん,vase
花見,はなみ,cherry blossom watching
花壇,かだん,flowerbed
貝がら,かいがら,seashell
桜貝,さくらがい,cherry seashell
学校,がっこう,school
入学,にゅうがく,school entrant
学ぶ,まなぶ,to study
天気,てんき,weather
気配,けはい,sensation
気持ち,きもち,feeling, mood
小学校,しゅうがっこう,little school
九月九日,きゅうがつここのか,9th of september
九人,くにん,nine people
夏休み,なつやすみ,summer holiday
学校を休む,がっこうをやすむ,school holiday
休日,きゅうじつ,holiday
お年玉,おとしだま,new years gift
シャボン玉,しゃぼんだま,soap bubble
金づち,かなづち,hammer
ちょ金ばこ,ちょきんばこ,savings box
お金,おかね,money
けん玉,けんだま,kendama
青空,あおぞら,blue sky
空きかん,あきかん,empty can
空っぽ,からっぽ,hollow
美味しい空気,おいしいくうき,fresh air
月曜日,げつようび,monday
正月,しょうがつ,new year
月見,つきみ,moon watching
犬小屋,いぬごや,dog house
番犬,ばんけん,guard dog
おみまい,おみまい,to visit a sick person
見学,けんがく,field trip
五月五日,ごがついつか,5th of may
出口,でぐち,exit
校庭,こうてい,schoolyard
小学校,しょうがっこう,primary school
休校,きゅうこう,school holiday
左足,ひだりあし,left leg
左折する,させつする,to turn left
人口,じんこう,population
火口,かこう,crater
たき火,たきび,bonfire
校舎,こうしゃ,school building
ミ日月,みかづき,crescent moon
三輪車,さんりんしゃ,tricycle
三月三日,さんがつみっか,3rd of march
山林,さんりん,mountain forest
火山,かざん,volcano
親子,おやこ,parent and child
男子,だんし,boy
女子,じょし,girl
子供,こども,child
四時,よじ,4 oclock
四角,しかく,square
四日,よっか,4th day of the month
毛糸,けいと,yarn
釣り糸,つりいと,fishing line
数字,すうじ,numbers
耳飾り,みみかざり,earings
耳鼻科,じびか,snt clinic
七月七日,しちがつなのか,7th of july
七夕,たなばた,tanabata
車庫,しゃこ,garage
水車,すいしゃ,water wheel
手がみ,てがみ,letter
運転手,うんてんしゅ,chauffeur
上手,じょうず,good at
下手,へた,bad at
赤十字,せきじゅうじ,the red cross
十月十日,じゅうがつとおか,10th of october
思い出,おもいで,memories
出発,しゅっぱつ,depaprture
女子,じょし,girl
王女,おうじょ,princess
女神,めがみ,godess
女の人,おんなのひと,woman
小石,こいし,small stone
小川,おがわ,small river
小学生,しょうがくせい,primary school student
小さい,ちいさい,small
川上,かわかみ,upstream
屋上,おくじょう,rooftop
上がる,あがる,to ascend
上る,のぼる,to climb
森林,しんりん,forest
名人,めいじん,expert
人形,にんぎょう,doll
大人,おとな,adult
三人,さんにん,three people
男の人,おとこのひと,male
水玉もよう,みずだまもよう,polka dots
水中眼鏡,すいちゅうめがね,swimming goggles
水道,すいどう,water supply
水,みず,water
正方形,せいほうけい,square
正しい,ただしい,correct
正す,ただす,to correct
正直,しょうじき,honest, straight forward
生たまご,なまたまご,raw egg
たん生日,たんじょうび,birthday
生まれる,うまれる,to be born
生やす,はやす,to cultivate
先生,せんせい,teacher
青虫,あおむし,catterpiller
青年,せいねん,young man
青い,あおい,blue
夕日,ゆうひ,evening sun
夕やけ,ゆうやけ,afterglow of sunset
夕立,ゆうだち,evening shower
石,いし,stone
磁石,じしゃく,magnet
石油,せきゆ,oil
赤ちゃん,あかちゃん,baby
赤飯,せきはん,red rice
赤く,あかく,red
千葉,ちば,chiba
千円さつ,せんえんさつ,1000 yen bill
千代田,ちよだ,chiyoda
川下り,かわくだり,rafting
天の川,あまのがわ,milky way
河川,かせん,rivers
つま先,つまさき,toes
先月,せんげつ,last month
先,さき,future, end
手羽先,てばさき,chicken wings
早足,はやあし,quick pace
早朝,そうちょう,early in the morning
早めに,はやめに,coming early
草むら,くさむら,grassy place
草原,そうげん,medow
草とり,くさとり,weeding
村祭,むらまつり,forest festival
市町村,しちょうそん,municipailities
村長,そんちょう,town head
大会,たいかい,gathering
男子,だんし,boy
男女,だんじょ,boys and girls
長男,ちょうなん,elder boy
男の子,おとこのこ,boy child
竹林,ちくりん,bamboo forest
竹馬,たけうま,stilts
竹橋,たけばし,take bashi
中指,なかゆび,middle finger
空中,くうちゅう,mid air
一日中,いちにちじゅう,all day long
虫歯,むしば,tooth decay
かぶと虫,かぶとむし,rhino beetle
こん虫,こんちゅう,insects
町はずれ,まちはずれ,outskirts of town
下町,したまち,outskirts of town
町内,ちょうない,neighbourhood
天国,てんごく,heven
天ぷら,てんぷら,tenpura
天の川,あまのがわ,milky way
水田,すいでん,water filled rice field
田園,でんえん,countrysiden
田んぼ,たんぼ,rice field
土あそび,つちあそび,playing with dirt
土地,とち,plot of land
ねん土,ねんど,clay
二年生,にねんせい,two year old
二月二日,にがつふつか,2nd of february
二十日,はつか,20th of...
二人,ふたり,two people
日やけ,ひやけ,sun tan
休日,きゅうじつ,holiday
手入れ,ていれ,looking after, tending to
立ち入り禁止,たちいりきんし,entrance is prohibited
入る,はいる,to enter
入場,にゅうじょう,entracnce
一年間,いちねんかん,one year period
お年より,おとしより,elderly person
白鷺,しらさぎ,heron
白鳥,はくちょう,swan
白い,しろい,white
白,しろ,white
八重桜,やえざくら,cherry blossom
八月八日,はちがつようか,8th of august
八つ,やっつ,eight things
百科事典,ひゃっかじてん,encyclopedia
百点,ひゃくてん,100 points
百さい,ひゃくさい,100 years old
さく文,さくぶん,formal writing
天文台,てんもんだい,star watching
文化の日,ぶんかのひ,culture day
木かげ,こかげ,shade (under a tree)
大木,たいぼく,big tree
木曜日,もくようび,thursday
本気,ほんき,seriousness
手本,てほん,good example, paragon
名前,なまえ,name
名字,みょうじ,family name
有名,ゆうめい,famous
目覚まし時計,めざましどけい,alarm clock
目標,もくひょう,goal
切れ目,きれめ,gap, break in
立ち上がる,たちあがる,to stand up
き立,きりつ,standing up
立てる,たてる,to stand up
努力,どりょく,hard work, effort
力作,りきさく,great endevour
力いっぱい,ちからいっぽい,with all ones power
ぞえ木林,ぞうきばやし,grove of trees
林道,りんどう,wooded path
林,はやし,wood
六月六日,ろくがつむいか,6th of june
