〜 (まる) ごと	〜 (まる) ごと	whole ~, all of ~	N2	1aedea23-bcc4-43ab-9f81-fccb5831e6cb
(かさを～) さす	(かさを～) さす	to open; hold (an umbrella)	N2	344ec5af-f523-4895-a3b5-e191236db280
〜(日本) 式	～(にほん) しき	custom,	N2	a8ceab71-8f60-4b62-8ba7-5135e9774046
～位	～い	~th place	N2	bf310c8a-4ec4-4f27-92f5-9996c8cad43c
～いち (にほんいち)	～いち (にほんいち)	No. 1 ~ (in)	N2	625e9272-4748-40a9-a3d7-03883f994b9e
～園	～えん	~ garden (especially man made)	N2	482228be-d577-4d09-9dc6-a4581d264563
～おしまい (おわり)	～おしまい (おわり)	end up ~	N2	7ad45059-0465-49f1-a33e-457f5791718a
～日	～か	counter for days	N2	794c1a87-afc5-40d0-810d-d4bdc248d9e8
～下	～か	under ~	N2	ac4d1332-2ab5-4bac-9075-49a5f4128099
～化	～か	action of making something	N2	c57c5be7-cd5f-402e-8614-731f612e96aa
～科	～か	family, group, course	N2	341917d1-0b98-4110-b71e-3c302e424b38
～歌	～か	song of ~	N2	2b632aa2-0696-4757-934a-040e61b1dc0d
～画	～が	picture, painting	N2	99f55859-cdd8-4b3e-b60c-8bd4c7fc9c71
～外	～がい	out of ~	N2	2470a21f-e89b-438b-80d5-d2ce3fce9648
～難い	～がたい	hard (difficult) to do ~	N2	137ed29d-9de0-4aaa-b495-dfd81150af0d
～がち	～がち	tend to do ~	N2	e43b6116-b805-4318-810c-855def1132a7
～刊	～かん	~ issued (magazine, newspaper)	N2	813e1c52-0fbd-46a7-bc0a-247145c367df
～間	～かん	between, during	N2	6343cb49-1cc4-47d6-9a18-f1f443aa9f2e
～巻	～かん	volume	N2	c70ccbec-6d20-429c-8239-2b31fc7f8f3f
～館	～かん	~ hall, ~ building	N2	da46e7b6-b689-4c1a-bbcb-a22eab3f6028
～感	～かん	feeling, sense, impression	N2	51de57ed-e7a8-4b5b-b333-5cb15b7d33b2
～期	～き	~age, ~period	N2	0c27b5b1-d65d-4483-b240-082ad72b9873
～器	～き	device, equipment	N2	e1328029-9aad-482e-ac88-dcb59716dcec
～機	～き	machine	N2	4666bede-b0bf-4626-a1e3-4029ba340c49
～気味	～ぎみ	slightly ~	N2	1de00a2f-e9ab-43e4-b992-34cf4f6b0323
～教	～きょう	religion	N2	e8fe3c69-da23-4487-98cc-6f037d681c59
～行	～ぎょう	line, row	N2	dccfd286-04bc-4a75-9c25-606c5dd86820
～業	～ぎょう	type of business	N2	8cc9ba53-3e7a-4d89-bd17-bba97189bb9b
～きる	～きる	nevertheless, to carry through	N2	cea0b308-a795-4f3e-9bf2-db22b9465dc4
～切れ	～きれ	out of ~	N2	1c6ea102-97b4-4acd-bdba-075648f8cd7d
～口	～くち	~ opening; ~ entrance, ~ exit	N2	131b11fa-9a6e-4ecd-839a-b11947ba9605
～家	～け	~'s family, the house of ~	N2	90919e07-ecea-4dd0-a792-48a10e0cb49f
～形	～けい	shape of ~	N2	f6a01c89-887a-4f87-ab52-1fc98c51dd9a
～系	～けい	~ system, ~ lineage, ~ group	N2	2d1bae97-ea83-4b1f-888a-970aa9ec06ea
～圏	～けん	bloc, sphere, area	N2	54122519-f27f-4cad-a193-f7070f423ae9
～校	～こう	counter for school	N2	86cd2db3-cf78-435f-aad4-63f0c2a73d3d
～港	～こう	~ port	N2	27ffb33a-7a1c-4529-aadb-5d3f3761ecdc
