,﻿一,イチ、イツ、ひと、ひと-つ,2,2
8,丁,チョウ、テイ,2,0
10,七,シチ、なな、なな-つ、[なの],1,3
9,万,マン、バン,2,0
4,丈,ジョウ、たけ,1,1
10,三,サン、み、み-つ、みっ-つ,1,3
10,上,ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す,2,8
10,下,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる,2,10
7,不,フ、ブ,2,0
4,与,ヨ、あた-える,1,1
2.5,且,か-つ,0,1
8,世,セイ、セ、よ,2,1
4,丘,キュウ、おか,1,1
2.5,丙,ヘイ,1,0
8,両,リョウ,1,0
5,並,ヘイ、なみ、なら-べる、なら-ぶ、なら-びに,1,4
10,中,チュウ、[ジュウ]、なか,1,1
2,串,くし,0,1
9,丸,ガン、まる、まる-い、まる-める,1,3
4,丹,タン,1,0
8,主,シュ、[ス]、ぬし、おも,2,2
2,丼,どんぶり、[どん],0,2
6,久,キュウ、[ク]、ひさ-しい,2,1
3,乏,ボウ、とぼ-しい,1,1
8,乗,ジョウ、の-る、の-せる,1,2
3,乙,オツ,1,0
10,九,キュウ、ク、ここの、ここの-つ,2,2
2,乞,こ-う,0,1
5,乱,ラン、みだ-れる、みだ-す,1,2
5,乳,ニュウ、ちち、ち,1,2
4,乾,カン、かわ-く、かわ-かす,1,2
2,亀,キ、かめ,1,1
3,了,リョウ,1,0
8,予,ヨ,1,0
7,争,ソウ、あらそ-う,1,1
8,事,ジ、[ズ]、こと,2,1
10,二,ニ、ふた、ふた-つ,1,2
4,互,ゴ、たが-い,1,1
10,五,ゴ、いつ、いつ-つ,1,2
7,井,セイ、[ショウ]、い,2,1
2.5,亜,ア,1,0
5,亡,ボウ、[モウ]、な-い,2,1
9,交,コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす,1,7
2.5,享,キョウ,1,0
9,京,キョウ、ケイ,2,0
2.5,亭,テイ,1,0
10,人,ジン、ニン、ひと,2,1
5,仁,ジン、[ニ],2,0
9,今,コン、キン、いま,2,1
4,介,カイ,1,0
6,仏,ブツ、ほとけ,1,1
8,仕,シ、[ジ]、つか-える,2,1
8,他,タ、ほか,1,1
7,付,フ、つ-ける、つ-く,1,2
2.5,仙,セン,1,0
