1,問題,238663,"adjective stem for -nai negation",mondai,question
2,首相,224822,"general noun",syusyoo,"Prime Minister"
3,写真,211918,"general noun",syasin,photograph
4,現在,193742,"possible to use as an adverb",genzai,now
5,世界,183195,"general noun",sekai,"the world"
6,政府,181556,"general noun",seihu,government
7,説明,174920,"light-verb -suru attached",setumei,explanation
8,交渉,170891,"light-verb -suru attached",koosyoo,negotiations
9,代表,162696,"light-verb -suru attached",daihyoo,representative
10,委員,150054,"general noun",iin,"committee member"
11,関係,146333,"light-verb -suru attached",kankei,relation
12,事件,142862,"general noun",ziken,event
13,発表,140557,"light-verb -suru attached",happyoo,announcement
14,経済,139962,"general noun",keizai,economics
15,昨年,138391,"possible to use as an adverb",sakunen,"last year"
16,表示,136067,"light-verb -suru attached",hyoozi,indication
17,情報,135096,"general noun",zyoohoo,news
18,社会,133618,"general noun",syakai,society
19,時間,133613,"possible to use as an adverb",zikan,time
20,容疑,130370,"general noun",yoogi,suspect
21,大会,129583,"general noun",taikai,convention
22,監督,128290,"light-verb -suru attached",kantoku,supervision
23,著作,127950,"light-verb -suru attached",tyosaku,writing
24,必要,126985,"adjectival noun, na-adjective",hituyoo,necessary
25,会社,124229,"general noun",kaisya,company
26,本文,123894,"general noun",honbun,text
27,調査,123787,"light-verb -suru attached",tyoosa,investigation
28,選手,122240,"general noun",sensyu,player
29,以上,121572,"nonselfsustaining noun",izyoo,"not less than"
30,野球,121270,"general noun",yakyuu,baseball
31,国際,120870,"general noun",kokusai,international
32,企業,114671,"general noun",kigyoo,enterprise
33,女性,114178,"general noun",zyosei,woman
34,可能,112430,"adjectival noun, na-adjective",kanoo,potential
35,選挙,111854,"light-verb -suru attached",senkyo,election
36,自分,110715,"general noun",zibun,myself
37,全国,110372,"general noun",zenkoku,countrywide
38,試合,107924,"light-verb -suru attached",siai,match
39,政治,104674,"general noun",seizi,politics
40,政権,101593,"general noun",seiken,administration
41,今年,99761,"possible to use as an adverb",kotosi,"this year"
42,会議,97984,"light-verb -suru attached",kaigi,meeting
43,国民,96900,"general noun",kokumin,nation
44,会長,96737,"general noun",kaityoo,president
45,支援,93865,"light-verb -suru attached",sien,support
46,研究,92835,"light-verb -suru attached",kenkyuu,study
47,社長,92765,"general noun",syatyoo,"company president"
48,議員,91841,"general noun",giin,"member of the Diet, congress or parliament"
49,電話,91709,"light-verb -suru attached",denwa,"telephone call"
50,午後,90108,"possible to use as an adverb",gogo,afternoon
51,事業,89625,"general noun",zigyoo,project
52,時代,87667,"general noun",zidai,period
53,優勝,86887,"light-verb -suru attached",yuusyoo,"overall victory"
54,改革,86437,"light-verb -suru attached",kaikaku,reform
55,参加,85638,"light-verb -suru attached",sanka,participation
56,金融,83945,"general noun",kinyuu,financing
57,共同,83899,"light-verb -suru attached",kyoodoo,"doing together"
58,今回,83462,"possible to use as an adverb",konkai,now
59,結果,82621,"possible to use as an adverb",kekka,result
60,五輪,81749,"general noun",gorin,"the Olympics"
61,政策,80580,"general noun",seisaku,"political measures"
62,記者,78627,"general noun",kisya,reporter
63,活動,78090,"light-verb -suru attached",katudoo,action
64,午前,77769,"possible to use as an adverb",gozen,morning
65,場合,77619,"possible to use as an adverb",baai,case
66,制度,77296,"general noun",seido,system
67,方針,76485,"general noun",hoosin,objective
68,地域,76310,"general noun",tiiki,area
69,女子,76079,"general noun",zyosi,woman
70,会見,75183,"light-verb -suru attached",kaiken,interview
71,協議,74885,"light-verb -suru attached",kyoogi,conference
72,対策,74068,"light-verb -suru attached",taisaku,measure
73,指摘,73359,"light-verb -suru attached",siteki,"pointing out"
74,生活,73275,"light-verb -suru attached",seikatu,living
75,連続,72174,"light-verb -suru attached",renzoku,serial
76,出場,72100,"light-verb -suru attached",syutuzyoo,appearance
77,決定,71642,"light-verb -suru attached",kettei,decision
78,環境,70834,"general noun",kankyoo,environment
79,最終,70731,"general noun",saisyuu,last
80,影響,70682,"light-verb -suru attached",eikyoo,influence
81,機関,70227,"general noun",kikan,engine
82,市場,69986,"general noun",sizyoo,market
83,教授,69910,"general noun",kyoozyu,professor
84,開発,69835,"light-verb -suru attached",kaihatu,development
85,報告,69746,"light-verb -suru attached",hookoku,report
86,販売,69232,"light-verb -suru attached",hanbai,sales
87,検討,68934,"light-verb -suru attached",kentoo,consideration
88,男性,68928,"general noun",dansei,man
89,予定,68923,"light-verb -suru attached",yotei,plans
90,年度,68773,suffix,nendo,"fiscal year"
91,長官,67774,"general noun",tyookan,secretary
92,逮捕,67684,"light-verb -suru attached",taiho,arrest
93,経営,67494,"light-verb -suru attached",keiei,management
94,計画,67487,"light-verb -suru attached",keikaku,plan
95,被害,67131,"general noun",higai,damage
96,国会,67038,"general noun",kokkai,"National Diet"
97,子供,65559,"general noun",kodomo,child
98,対象,65512,"general noun",taisyoo,target
99,対応,64244,"light-verb -suru attached",taioo,interaction
100,判断,64033,"light-verb -suru attached",handan,judgement
101,担当,63654,"light-verb -suru attached",tantoo,"being in charge"
102,国内,63535,"general noun",kokunai,internal
103,大学,63448,"general noun",daigaku,"post-secondary education institution, incl. university, college, etc."
104,教育,63417,"light-verb -suru attached",kyooiku,training
105,支持,63236,"light-verb -suru attached",sizi,support
106,決勝,62746,"general noun",kessyoo,"decision of a contest"
107,実施,62343,"light-verb -suru attached",zissi,enforcement
108,会談,62217,"light-verb -suru attached",kaidan,conversation
109,批判,62123,"light-verb -suru attached",hihan,criticism
110,今後,62023,"possible to use as an adverb",kongo,"from now on"
111,当時,61147,"possible to use as an adverb",toozi,"at that time"
112,高校,61031,"general noun",kookoo,"senior high school"
113,男子,60526,"general noun",dansi,youth
114,団体,60511,"general noun",dantai,organization
115,被告,60441,"general noun",hikoku,defendant
116,安全,60307,"adjectival noun, na-adjective",anzen,safety
117,中心,60275,"general noun",tyuusin,center
118,地方,60075,"general noun",tihoo,district
119,記録,59875,"light-verb -suru attached",kiroku,record
120,協力,59809,"light-verb -suru attached",kyooryoku,cooperation
121,事故,59318,"general noun",ziko,accident
122,責任,59232,"general noun",sekinin,duty
123,関連,59084,"light-verb -suru attached",kanren,relation
124,学校,59054,"general noun",gakkoo,school
125,協会,58739,"general noun",kyookai,association
126,保険,58594,"general noun",hoken,insurance
127,期待,57795,"light-verb -suru attached",kitai,expectation
128,技術,57528,"general noun",gizyutu,art
129,家族,57371,"general noun",kazoku,family
130,病院,57224,"general noun",byooin,hospital
131,組織,57210,"light-verb -suru attached",sosiki,organization
132,理事,57001,"general noun",rizi,director
133,死亡,56936,"light-verb -suru attached",siboo,death
134,作品,56451,"general noun",sakuhin,work
135,施設,56422,"light-verb -suru attached",sisetu,institution
136,確認,56273,"light-verb -suru attached",kakunin,confirmation
137,言葉,55907,"general noun",kotoba,language
138,利用,55147,"light-verb -suru attached",riyoo,use
139,年間,54381,suffix,nenkan,year
140,評価,54248,"light-verb -suru attached",hyooka,valuation
141,候補,53816,"general noun",kooho,candidate
142,戦争,53788,"light-verb -suru attached",sensoo,war
143,消費,53733,"light-verb -suru attached",syoohi,consumption
144,個人,53575,"general noun",kozin,individual
145,幹部,53544,"general noun",kanbu,management
146,状況,53045,"general noun",zyookyoo,"state of affairs"
147,捜査,52772,"light-verb -suru attached",soosa,search
148,特別,52481,"adjectival noun, na-adjective",tokubetu,special
149,意見,52177,"light-verb -suru attached",iken,opinion
150,映画,51917,"general noun",eiga,movie
151,医療,51179,"general noun",iryoo,"medical care"
152,内容,50285,"general noun",naiyoo,subject
153,資金,50209,"general noun",sikin,funds
154,以来,49906,"possible to use as an adverb",irai,since
155,開催,49630,"light-verb -suru attached",kaisai,"holding a meeting"
156,反対,49073,"light-verb -suru attached",hantai,opposition
157,判決,49056,"light-verb -suru attached",hanketu,"judicial decision"
158,以降,48749,"possible to use as an adverb",ikoo,"on and after"
159,報道,48505,"light-verb -suru attached",hoodoo,information
160,銀行,48449,"general noun",ginkoo,bank
161,指導,48264,"light-verb -suru attached",sidoo,leadership
162,理由,47954,"general noun",riyuu,reason
163,投票,47841,"light-verb -suru attached",toohyoo,voting
164,合意,47582,"light-verb -suru attached",gooi,agreement
165,表明,47474,"light-verb -suru attached",hyoomei,declaration
166,攻撃,47303,"light-verb -suru attached",koogeki,attack
167,管理,46863,"light-verb -suru attached",kanri,control
168,過去,46813,"possible to use as an adverb",kako,"the past"
169,相手,46710,"general noun",aite,companion
170,姿勢,46677,"general noun",sisei,attitude
171,予算,46515,"general noun",yosan,estimate
172,本部,46330,"general noun",honbu,headquarters
173,一部,46289,"possible to use as an adverb",itibu,"one part"
174,仕事,46239,"light-verb -suru attached",sigoto,work
175,拡大,45995,"light-verb -suru attached",kakudai,magnification
176,民主,45932,"general noun",minsyu,democracy
177,改正,45484,"light-verb -suru attached",kaisei,revision
178,最大,45440,"general noun",saidai,biggest
179,与党,45435,"general noun",yotoo,"ruling party"
180,科学,45302,"general noun",kagaku,science
181,中央,45226,"general noun",tyuuoo,centre
182,人間,45183,"general noun",ningen,"human being"
183,最高,44925,"general noun",saikoo,highest
184,強化,44839,"light-verb -suru attached",kyooka,strengthen
185,価格,44749,"general noun",kakaku,price
186,年金,44700,"general noun",nenkin,annuity
187,住民,44565,"general noun",zyuumin,citizens
188,文化,44533,"general noun",bunka,culture
189,内閣,44307,"general noun",naikaku,cabinet
190,記事,44069,"general noun",kizi,article
191,最後,44039,"general noun",saigo,last
192,放送,43992,"light-verb -suru attached",hoosoo,broadcast
193,主張,43845,"light-verb -suru attached",syutyoo,claim
194,投資,43670,"light-verb -suru attached",toosi,investment
195,自由,43325,"adjectival noun, na-adjective",ziyuu,freedom
196,取引,42377,"light-verb -suru attached",torihiki,transactions
197,削減,42329,"light-verb -suru attached",sakugen,cut
198,強調,42255,"light-verb -suru attached",kyootyoo,emphasis
199,障害,42189,"general noun",syoogai,obstacle
200,総合,42096,"light-verb -suru attached",soogoo,synthesis
201,来年,42087,"possible to use as an adverb",rainen,"next year"
202,人気,42064,"general noun",ninki,popularity
203,財政,41934,"general noun",zaisei,"financial affairs"
204,専門,41832,"general noun",senmon,speciality
205,投手,41832,"general noun",toosyu,pitcher
206,重要,41813,"adjectival noun, na-adjective",zyuuyoo,important
207,法案,41674,"general noun",hooan,bill
208,首脳,41672,"general noun",syunoo,head
209,建設,41659,"light-verb -suru attached",kensetu,construction
210,基本,41520,"general noun",kihon,foundation
211,安打,41445,"general noun",anda,"safe hit"
212,国家,41269,"general noun",kokka,state
213,同社,41121,"general noun",doosya,"the same firm"
214,裁判,40926,"general noun",saiban,trial
