広告	広告 こうこく advertisement
事務	事務 じむ business; office work; administration
と	と と if; when; and; with; particle used for quoting (with speech, thoughts, etc.); quoting particle; promoted pawn; indicates question (sentence end)
セット	セット セット set; set meal; hairdo
トップ	トップ トップ top; top position; senior management; senior bureaucrat
カード	カード カード card; curd; match; game; grouping in a competition or tournament
サービス	サービス サービス service; help; assistance; care; concern; discount; freebie; free gift; service; serve; service; servicing; (product) maintenance
話題	話題 わだい topic; subject
ケース	ケース ケース case (e.g. receptacle, condition, event, legal action, letter style, etc.); Computer-Aided Software Engineering; CASE
バッグ	バッグ バッグ bag
祝い	祝い いわい congratulation; congratulations; celebration; festival; congratulatory gift
操作	操作 そうさ operation; management; processing; manipulating to one's benefit; to operate; to manipulate; to fiddle (e.g. the books)
体育	体育 たいいく physical education; gymnastics; athletics
違い	違い ちがい difference; discrepancy
事件	事件 じけん event; affair; incident; case; plot; trouble; scandal
種類	種類 しゅるい variety; kind; type; category; counter for different sorts of things
男子	男子 だんし youth; young man
消費	消費 しょうひ consumption; expenditure
評価	評価 ひょうか valuation; estimation; assessment; evaluation; rating; to value; to assess; to rate; to estimate value; to appreciate; to value highly; to acknowledge the value (of something)
設計	設計 せっけい plan; design; layout
未来	未来 みらい the future (usually distant); future tense; the world to come
左右	左右 さゆう left and right; influence; control; domination
人物	人物 じんぶつ person; character; figure; personage; man; woman; one's character; one's personality; able person; talented person
住宅	住宅 じゅうたく residence; housing; residential building
週間	週間 しゅうかん weeks (period of)
以前	以前 いぜん ago; since; before; previous
理解	理解 りかい understanding; comprehension; appreciation; sympathy
精神	精神 せいしん mind; soul; heart; spirit; intention
保存	保存 ほぞん preservation; conservation; storage; saving (e.g. to disk); maintenance
材料	材料 ざいりょう ingredients; material
代理	代理 だいり representation; agency; proxy; deputy; agent; attorney; substitute; alternate; acting (principal, etc.)
事情	事情 じじょう circumstances; consideration; conditions; situation; reasons; state of affairs
運動	運動 うんどう exercise; physical training; work-out; appeal; campaign; drive; crusade; movement; lobbying; motion; movement
過去	過去 かこ the past; bygone days; the previous; a past (i.e. a personal history one would prefer remained secret); one's past; past (tense); preterit; preterite; previous life
名	名 な name; given name; title; fame; renown; reputation; pretext; pretense; justification; appearance
期待	期待 きたい expectation; anticipation; hope
数	数 かず number; amount
台	台 だい stand; rack; table; bench; podium; pedestal; platform; stage; support; holder; rack; counter for machines, incl. vehicles; setting (e.g. in jewellery); level (e.g. price level); range (e.g. after physical units); period (of time, e.g. a decade of one's life); elevated area; viewing platform; dish tray; meal; tall building; tower
日常	日常 にちじょう ordinary; regular; everyday; usual
正式	正式 せいしき due form; official; formality
実際	実際 じっさい practicality; practical; reality; actuality; actual conditions; bhutakoti (limit of reality)
大家	大家 おおや landlord; landlady
地	地 ち earth; ground; land; soil; place; territory; bottom (of a package, book, etc.); earth (one of the five elements)
今回	今回 こんかい now; this time; lately
出版	出版 しゅっぱん publication
時	時 とき time; hour; moment; occasion; case; chance; opportunity; season; the times; the age; the day; tense
都	都 みやこ capital; metropolis
魅力	魅力 みりょく charm; fascination; glamour; glamor; attraction; appeal
他	他 た other (esp. people and abstract matters)
神	神 かみ god; deity; divinity; spirit; kami; incredible; fantastic; emperor of Japan; thunder
金融	金融 きんゆう financing; credit transacting; loaning of money; circulation of money
一番	一番 いちばん number one; first; first place; best; most; game; round; bout; as a test; as an experiment; by way of experiment; by way of trial; tentatively; song (e.g. in noh); piece
来	来 らい next (year, etc.); since (last month, etc.)
方向	方向 ほうこう direction; orientation; bearing; way; course (e.g. of action)
都市	都市 とし town; city; municipal; urban
あっ	あっ あっ Ah! Oh!
決定	決定 けってい decision; determination
能	能 のう talent; gift; function; noh (theatre)
円	円 えん yen; Japanese monetary unit; circle
元	元 もと origin; source; base; basis; foundation; root; cause; ingredient; material; (somebody's) side; (somebody's) location; original cost (or capital, principal, etc.); (plant) root; (tree) trunk; first section of a waka; former ~; originally a ~; handle (chopsticks, brush, etc.); grip
土	土 つち earth; soil; dirt; clay; mud; the earth (historically, esp. as opposed to the heavens); the ground; the land; low-quality torinoko-gami (containing mud); (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)
比較	比較 ひかく comparison
報告	報告 ほうこく report; information
料金	料金 りょうきん fee; charge; fare
相当	相当 そうとう befitting; becoming; worthy of; proportionate; in keeping with; suitable; considerable; substantial; to be worthy of; to be proportionate to; to correspond to (in meaning, function, etc.); to be equivalent; extremely; considerably
王	王 おう king; ruler; sovereign; monarch; tycoon; magnate; champion; master; king (of the senior player)
型	型 かた model; type (e.g. of machine, goods, etc.); type; style; pattern; mold (mould); template; model; kata (standard form of a movement, posture, etc. in martial arts, sport, etc.); form (i.e. customary procedure); size (i.e. clothing, shoes); (taxonomical) form
幅	幅 はば width; breadth; freedom (e.g. of thought); latitude; gap; difference (e.g. in price); range (e.g. of voice)
発表	発表 はっぴょう announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling
容易	容易 ようい easy; simple; plain
禁止	禁止 きんし prohibition; inhibition; ban
事	事 こと thing; matter; incident; occurrence; event; something serious; trouble; crisis; circumstances; situation; state of affairs; work; business; affair; after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to; nominalizing suffix; pretending to ...; playing make-believe ...; alias; aka; nickname; alternative name; also known as
香り	香り かおり aroma; fragrance; scent; smell
内	内 うち inside; within; while; among; amongst; between; we (referring to one's in-group, i.e. company, etc.); our; my spouse; imperial palace grounds; emperor; I (primarily used by women and children); me
正	正 せい (logical) true; regular; 10^40; ten thousand undecillion; original; positive; greater than zero
効果	効果 こうか effect; effectiveness; efficacy; result; effects (e.g. sound effects, visual effects, special effects)
大会	大会 たいかい convention; tournament; mass meeting; rally
友情	友情 ゆうじょう friendship; fellowship; camaraderie
可	可 か passable; acceptable; tolerable; fair
共同	共同 きょうどう doing together (as equals); sharing; common (land, etc.); joint (statement, etc.); cooperation; co-operation; collaboration; association
自身	自身 じしん by oneself; personally
製造	製造 せいぞう manufacture; production
全体	全体 ぜんたい whole; entirety; whatever (is the matter)
最終	最終 さいしゅう last; final; closing
特徴	特徴 とくちょう feature; trait; characteristic; peculiarity; distinction
街	街 まち town; block; neighbourhood; neighborhood; street; road; downtown; main street
回	回 かい counter for occurrences; a time; an instance; inning (baseball); round; game; episode; chapter; instalment; Hui (people); Islam
努力	努力 どりょく great effort; exertion; endeavour; endeavor; effort
生命	生命 せいめい life; existence
すてき	すてき すてき lovely; dreamy; beautiful; great; fantastic; superb; cool; capital
人間	人間 にんげん human being; person; man; mankind; humankind; character (of a person)
少年	少年 しょうねん boy; juvenile; young boy; youth; lad
明かり	明かり あかり light; illumination; glow; gleam; lamp; light
流行	流行 りゅうこう fashion; fad; vogue; craze; prevalence (e.g. of a disease)
制度	制度 せいど system; institution; organization; organisation
年間	年間 ねんかん years (period of)
身	身 み body; oneself; one's place; one's position; main part; meat (as opposed to bone, skin, etc.); wood (as opposed to bark); blade (as opposed to its handle); container (as opposed to its lid)
支払	支払 しはらい payment
移動	移動 いどう movement; transfer; migration; removal; travel; mobile; moving; traveling; travelling; roving
永久	永久 えいきゅう eternity; perpetuity; immortality; Eikyuu era (1113.7.13-1118.4.3)
