貴重	貴重 きちょう precious; valuable
常識	常識 じょうしき common sense; good sense; common knowledge; general knowledge; common practice; accepted practice; social etiquette
知能	知能 ちのう intelligence; intellect; brains
作曲	作曲 さっきょく composition; setting (of music)
外出	外出 がいしゅつ outing; trip; going out
結論	結論 けつろん conclusion
水準	水準 すいじゅん level; standard; water level
差別	差別 さべつ discrimination; distinction; differentiation
軍	軍 ぐん army; force; troops
肌	肌 はだ skin; body (in the context of intimate bodily contact); surface; grain (e.g. of wood); texture; disposition; temperament; character; type
境	境 さかい border; boundary; turning point; watershed; area; region; spot; space; environment; psychological state; mental state; cognitive object; something perceptible by the sense organs or mind
限界	限界 げんかい limit; bound
質	質 しつ quality
支配	支配 しはい domination; rule; control; direction; guidance
いただきます	いただきます いただきます expression of gratitude before meals
一言	一言 ひとこと single word; a few words; brief comment
大半	大半 たいはん majority; more than half; most (of); mostly; largely; mainly; predominately; nearly
神経	神経 しんけい nerve; nerves; sensitivity
演技	演技 えんぎ acting; performance
哲学	哲学 てつがく philosophy
共に	共に ともに together; jointly; at the same time; with; as ...; including; along with; both
義務	義務 ぎむ duty; obligation; responsibility
混乱	混乱 こんらん disorder; chaos; confusion; mayhem
緊張	緊張 きんちょう tension; mental strain; nervousness
詳しい	詳しい くわしい detailed; full; accurate; knowing very well; well-acquainted; well-informed
衛星	衛星 えいせい satellite
必死	必死 ひっし frantic; desperate; inevitable death; brinkmate (inevitable checkmate)
輸出	輸出 ゆしゅつ export; efferent
急速	急速 きゅうそく rapid (e.g. progress)
見解	見解 けんかい opinion; point of view
飛行	飛行 ひこう aviation; flight; flying; to fly; to take a flight
はあ	はあ はあ yes; indeed; well; ha!; what?; huh?; sigh
試し	試し ためし trial; test
格好	格好 かっこう shape; form; figure; posture; pose; appearance; state; situation; suitable; fit; reasonable; about
睡眠	睡眠 すいみん sleep
刑事	刑事 けいじ (police) detective; criminal matter
列車	列車 れっしゃ train (ordinary)
大臣	大臣 だいじん cabinet minister
額	額 がく picture (framed); amount or sum (of money)
離婚	離婚 りこん divorce
年中	年中 ねんじゅう whole year; all year round; throughout the year; always; all the time; middle class (of a nursery school, etc.)
残す	残す のこす to leave (behind, over); to bequeath; to save; to reserve
支出	支出 ししゅつ expenditure; expenses
議会	議会 ぎかい congress; parliament; diet; legislative assembly
尊重	尊重 そんちょう respect; esteem; regard
供給	供給 きょうきゅう supply; provision
鉄	鉄 てつ iron (Fe); strong and hard (as iron); railway; railway enthusiast
痛み	痛み いたみ pain; ache; soreness; grief; distress; damage; injury; wear; bruise; break
順	順 じゅん order; turn; obedient; docile; submissive; meek
骨	骨 ほね bone; frame; outline; core; backbone; spirit; fortitude; laborious; troublesome; difficult
財産	財産 ざいさん property; fortune; assets
何とか	何とか なんとか something; something or other; so-and-so; somehow; anyhow; one way or another
苦手	苦手 にがて poor (at); weak (in); not very good (at); dislike (of); difficult to deal with
世の中	世の中 よのなか society; the world; the times
会合	会合 かいごう meeting; assembly; association; conjunction
無事	無事 ぶじ safety; peace; quietness
食料	食料 しょくりょう food
含む	含む ふくむ to contain; to comprise; to have; to hold; to include; to embrace; to hold in the mouth; to bear in mind; to understand; to harbor (grudge, etc.); to harbour; to express (emotion, etc.); to imply
公平	公平 こうへい fairness; impartial; justice
成績	成績 せいせき results; record; grades; marks
鬼	鬼 おに oni; ogre; demon; spirit of a deceased person; ogre-like person (i.e. fierce, relentless, merciless, etc.); it (in a game of tag, hide-and-seek, etc.); Chinese "ghost" constellation (one of the 28 mansions); very; extremely; super-
束	束 たば bundle; bunch; sheaf
自殺	自殺 じさつ suicide
付き合い	付き合い つきあい association; socializing; socialising; fellowship
温暖	温暖 おんだん warm; mild; temperate; warmth
損害	損害 そんがい damage; injury; loss
不思議	不思議 ふしぎ wonder; miracle; strange; mystery; marvel; curiosity
貢献	貢献 こうけん contribution (furthering a goal or cause); services (to a cause)
爆発	爆発 ばくはつ explosion; detonation; eruption
守る	守る まもる to protect; to guard; to defend; to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow
余り	余り あまり remainder; rest; balance; remains; scraps; residue; remnant; not very (with negative sentence); not much; surplus; excess; fullness; too much; more than; over
税金	税金 ぜいきん tax; duty
示す	示す しめす to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent; to point out (finger, clock hand, needle, etc.); to indicate; to show; to represent; to signify; to display
桜	桜 さくら cherry tree; cherry blossom; decoy; fake buyer; shill; hired applauder; horse meat
小屋	小屋 こや hut; cabin; shed; (animal) pen; small theatre (theater); temporary playhouse; circus tent; booth; one's own house
免許	免許 めんきょ license; permit; licence; certificate
故郷	故郷 ふるさと home town; birthplace; native place; one's old home; ruins; historic remains
世間	世間 せけん world; society
招待	招待 しょうたい invitation
画家	画家 がか painter; artist
景気	景気 けいき condition; state; business (condition)
栄養	栄養 えいよう nutrition; nourishment
塔	塔 とう tower; steeple; spire; stupa; pagoda; dagoba
進学	進学 しんがく entering a higher-level school, esp. going on to university
有る	有る ある to be (usu. of inanimate objects); to exist; to live; to have; to be located; to be equipped with; to happen; to come about
寄付	寄付 きふ contribution; donation
運	運 うん fortune; luck
否定	否定 ひてい negation; denial; repudiation; disavowal; NOT operation
引退	引退 いんたい retire
議長	議長 ぎちょう chairman; speaker (e.g. of assembly); president (e.g. of council, senate, etc.); moderator (e.g. of a newsgroup)
別れ	別れ わかれ parting; separation; farewell; (lateral) branch; fork; offshoot; division; section
正確	正確 せいかく accurate; punctual; exact; authentic; veracious; correct
向かい	向かい むかい facing; opposite; across the street; other side
汗	汗 あせ sweat; perspiration; moisture; condensation
永遠	永遠 えいえん eternity; perpetuity; immortality; permanence
末	末 すえ tip; top; end; close (e.g. close of the month); youngest child; descendants; offspring; posterity; future; finally; trivialities
金銭	金銭 きんせん money; cash
教科書	教科書 きょうかしょ textbook; text book
梅	梅 うめ Japanese apricot (Prunus mume); Chinese plum; lowest (of a three-tier ranking system)
記入	記入 きにゅう entry; filling in of forms
