氏	氏 し Mr; Mrs; Ms; Miss; clan; he; him; counter for people
いずれ	いずれ いずれ where; which; who; anyway; anyhow; at any rate; sooner or later; eventually; one of these days; at some future date or time; both; either; any; all; whichever
現れ	現れ あらわれ embodiment; manifestation; materialization; materialisation; expression; indication
ビール	ビール ビール beer
雇う	雇う やとう to employ; to hire; to charter
だって	だって だって after all; because; but; even; too; as well; also; they say; I hear; you mean
床	床 ゆか floor; stage (for the narrator and the shamisen player); dining platform built across a river
願う	願う ねがう to desire; to wish; to hope; to beg; to request; to implore; to pray; to have something done for oneself
行儀	行儀 ぎょうぎ manners; behavior; behaviour
頂く	頂く いただく to receive; to get; to accept; to take; to buy; to eat; to drink; to be crowned with; to wear (on one's head); to have (on top); to have (as one's leader); to live under (a ruler); to install (a president); to get somebody to do something
夢中	夢中 むちゅう absorbed in; immersed in; crazy about; obsessed with; devoted to; forgetting oneself; daze; trance; ecstasy; delirium; within a dream; while dreaming
食う	食う くう to eat; to live; to make a living; to survive; to bite; to sting (as insects do); to tease; to torment; to taunt; to make light of; to make fun of; to encroach on; to eat into; to consume; to defeat a superior; to threaten a position; to consume time and-or resources; to receive something (usu. an unfavourable event); to have sexual relations with a woman, esp. for the first time
ぴったり	ぴったり ぴったり tightly; closely; exactly; precisely; suddenly (stopping); perfectly (suited); ideally
嬉しい	嬉しい うれしい happy; glad; pleasant
癖	癖 くせ habit (often a bad habit, i.e. vice); tendency; peculiarity; idiosyncrasy; mannerism; crease; wrinkle; curl; kink
マーケット	マーケット マーケット market
飼う	飼う かう to keep (a pet or other animal); to raise; to have; to own; to feed
ミス	ミス ミス mistake; error; failure; Miss; myth
離す	離す はなす to separate; to part; to divide; to keep apart
税	税 ぜい tax
及ぼす	及ぼす およぼす to exert; to cause; to exercise
あるいは	あるいは あるいは or; possibly
とにかく	とにかく とにかく anyhow; at any rate; anyway; somehow or other; generally speaking; in any case; at least
デート	デート デート date; go on a date
気の毒	気の毒 きのどく pitiful; unfortunate; (a) pity
ジーンズ	ジーンズ ジーンズ jeans
ですから	ですから ですから so; therefore
ノー	ノー ノー no
曇	曇 くもり cloudiness; cloudy weather; shadow
霜	霜 しも frost
狂う	狂う くるう to go mad; to get out of order; to go amiss
一人一人	一人一人 ひとりひとり one by one; each; one at a time
越す	越す こす to cross over (e.g. mountain); to go across; to go over (e.g. with audience); to pass time (e.g. a winter); to surpass; to be better than; to exceed; to move house; to go; to come
迷子	迷子 まいご lost child; lost person; stray child; missing child
劣る	劣る おとる to be inferior to; to be less good at; to fall behind
エネルギー	エネルギー エネルギー energy; strength; power; stamina; get-up-and-go; food energy; calories
対する	対する たいする to face (each other); to be facing; to be directed toward (the future, etc.); to be in response to; to be related to; to receive (a client, etc.); to compare with; to contrast with; to be in opposition with; to be opposed to; to confront; to oppose; to compete with
パス	パス パス path; pass (e.g. skipping a move, passing an examination, ticket to allow entry, etc.); pass
認める	認める みとめる to recognize; to recognise; to observe; to notice; to deem; to judge; to assess; to approve; to deem acceptable; to allow; to admit; to accept; to confess (to a charge); to watch steadily; to observe carefully; to renown; to give renown to; to appreciate; to acknowledge
ライター	ライター ライター lighter; writer
賢い	賢い かしこい wise; clever; smart
随分	随分 ずいぶん very; extremely; surprisingly; considerably; contemptible; reprehensible
チャンス	チャンス チャンス chance; opportunity
飽きる	飽きる あきる to get tired of; to lose interest in; to have enough
しまった	しまった しまった damn it!; damn!; oops!; oh dear!; oh no!
