ボーイ	ボーイ ボーイ boy; bellboy; porter; waiter
表す	表す あらわす to represent; to signify; to stand for; to reveal; to show; to display; to express; to make widely known
最中	最中 さいちゅう in the middle of; height of; in course of; midst
ところが	ところが ところが even so; however; still; whereupon; even though; nevertheless; on the contrary; as a matter of fact; despite
ゴール	ゴール ゴール goal; basket (basketball); finishing line; winning post; Gaul
経つ	経つ たつ to pass; to lapse
さて	さて さて well; now; then
きちんと	きちんと きちんと precisely; accurately; neatly
哀れ	哀れ あわれ pity; sorrow; grief; misery; compassion; pathos; pitiable; pitiful; pathetic; miserable; alack; alas
それでも	それでも それでも but (still); and yet; nevertheless; even so; notwithstanding
田	田 た rice field
横切る	横切る よこぎる to cross (e.g. road); to traverse
得る	得る える to get; to earn; to acquire; to procure; to gain; to secure; to attain; to obtain; to win; to understand; to comprehend; to receive something undesirable (e.g. a punishment); to get (ill); to be able to ..., can ...
辞める	辞める やめる to resign; to retire; to quit; to leave (one's job, etc.)
はさみ	はさみ はさみ scissors; shears; clippers; hole punch
求める	求める もとめる to want; to wish for; to request; to demand; to seek; to search for; to pursue (pleasure); to hunt (a job); to purchase; to buy
キャプテン	キャプテン キャプテン captain
まさか	まさか まさか by no means; never!; well, I never!; you don't say!; certainly (not); something unexpected; emergency; currently; for the time being; presently; for now; indeed; really; truly; unexpectedly
すなわち	すなわち すなわち that is; namely; i.e.
真似	真似 まね imitating; copying; mimicry; behavior; behaviour; action; conduct
まるで	まるで まるで quite; entirely; completely; at all; as if; as though; just like
ごめんなさい	ごめんなさい ごめんなさい I'm sorry; I beg your pardon; excuse me
ジュース	ジュース ジュース juice; soft drink (any (sweet) non-alcoholic beverage, carbonated or uncarbonated); deuce
ロケット	ロケット ロケット locket; rocket
適する	適する てきする to fit; to suit
積もる	積もる つもる to pile up; to accumulate; to estimate
喧嘩	喧嘩 けんか quarrel; brawl; fight; squabble; scuffle; argument
パスポート	パスポート パスポート passport
訳	訳 やく translation; version (e.g. "English version")
立ち上がる	立ち上がる たちあがる to stand up; to get up; to rise; to recover; to take action; to start; to make the initial charge; to start up; to boot up
凍る	凍る こおる to freeze; to be frozen over; to congeal
頬	頬 ほお cheek (of face)
現れる	現れる あらわれる to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise; to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)
いらっしゃい	いらっしゃい いらっしゃい come; go; stay; welcome!
のんびり	のんびり のんびり carefree; at leisure
馬鹿	馬鹿 ばか idiot; moron; fool; trivial matter; folly; absurdity; stupid; foolish; dull; absurd; ridiculous; fervent enthusiast; nut; person singularly obsessed with something; Mactra chinensis (species of trough shell)
贅沢	贅沢 ぜいたく luxury; extravagance; to live in luxury
付ける	付ける つける to attach; to join; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment); to furnish (a house with); to wear; to put on; to keep a diary; to make an entry; to appraise; to set (a price); to allot; to budget; to assign; to bring alongside; to place (under guard or doctor); to follow; to shadow; to load; to give (courage to); to keep (an eye on); to establish (relations or understanding); to turn on (light); to produce flowers; to produce fruit
かもしれない	かもしれない かもしれない may; might; perhaps; may be; possibly
振る	振る ふる to wave; to shake; to swing; to sprinkle; to throw (dice); to cast (actor); to allocate (work); to turn down (somebody); to reject; to jilt; to dump; to abandon; to give up; to ruin; to add kana indicating a reading of a word; to slightly change headings; to change directions; to extract by broiling; to prepare an infusion of; to decoct; to carry with great vigor (e.g. a portable shrine); to bring up a topic; to lead to a topic; to replace; to substitute; to set up a joke for somebody else
できれば	できれば できれば if possible
器用	器用 きよう nimble-fingered; dexterous; dextrous; skillful (with the fingers); skilful; handy; clever; shrewd; ingenious
指す	指す さす to point; to nominate; to select someone; to specify some person; to identify; to indicate; to point out; to play; to extend one's arm straight ahead (in dance)
お腹	お腹 おなか stomach
停留所	停留所 ていりゅうじょ bus stop; tram stop; stop; station
