震える	震える ふるえる to shiver; to shake; to quake; to tremble; to quaver; to quiver
縁	縁 えん fate; destiny (esp. as a mysterious force that binds two people together); relationship (e.g. between two people); bond; link; connection; family ties; affinity; opportunity; chance (to meet someone and start a relationship); pratyaya (indirect conditions, as opposed to direct causes); narrow open-air veranda
ジェット機	ジェット機 ジェットき jet aeroplane; jet airplane
叩く	叩く たたく to strike; to clap; to knock; to beat; to tap; to pat; to play drums; to abuse; to flame (e.g. on the Internet); to insult; to consult; to sound out; to brag; to talk big; to call; to invoke (e.g. a function)
所為	所為 せい consequence; outcome; result; blame
うなる	うなる うなる to groan; to moan; to roar; to howl; to growl; to hum (e.g. engine, wires in wind); to buzz; to sough; low, dull sound; to ooh and aah (in admiration); to sing in a strong, low voice (esp. traditional chant or recitation)
微笑む	微笑む ほほえむ to smile
替える	替える かえる to replace; to exchange; to interchange; to substitute
咳	咳 せき cough; coughing; tussis
吐く	吐く はく to vomit; to throw up; to spit up; to emit; to send forth; to breathe out; to give (an opinion); to make (a comment); to express; to tell; to confess
降ろす	降ろす おろす to take down (e.g. flag); to launch (e.g. boat); to drop; to lower (e.g. ladder); to let (a person) off; to unload; to discharge; to drop off (a passenger from a vehicle); to let (a person) off; to withdraw money from an account; to wear (clothing) for the first time; to fillet (e.g. a fish)
欠ける	欠ける かける to be chipped; to be damaged; to be broken; to be lacking; to be missing; to be insufficient; to be short; to be deficient; to be negligent toward; (of the moon) to wane; to go into eclipse
滅多に	滅多に めったに rarely; seldom
仏	仏 ほとけ Buddha; merciful person; Buddhist image; the dead; dead person; spirit of the dead
従兄弟	従兄弟 いとこ cousin (male)
詰める	詰める つめる to stuff into; to jam; to cram; to pack; to fill; to plug; to stop up; to shorten; to move closer together; to reduce (spending); to conserve; to focus intently on; to strain oneself to do; to work out (details); to be on duty; to be stationed; to corner (esp. an opponent's king in shogi); to trap; to checkmate; to cut off (one's finger as an act of apology); to catch (one's finger in a door, etc.); to continue ...; to keep doing ... without a break; to do ... completely; to do ... thoroughly; to force someone into a difficult situation by ...
昇る	昇る のぼる to ascend; to go up; to climb; to ascend (as a natural process, e.g. the sun); to rise; to go to (the capital); to be promoted; to add up to; to advance (in price); to swim up (a river); to sail up; to come up (on the agenda)
偶々	偶々 たまたま casually; unexpectedly; accidentally; by chance
就く	就く つく to ascend (the throne); to accede; to take (seat, position, course, etc.); to assume; to start (on a journey); to commence; to depart; to study (under teacher); to be an apprentice
精々	精々 せいぜい at the most; at best; to the utmost; as much (far) as possible
陰	陰 かげ shade; shadow; other side; back; background
軒	軒 けん counter for buildings (esp. houses); suffix for a pen name, stage name, etc.
繋ぐ	繋ぐ つなぐ to connect; to link together; to tie; to fasten; to restrain; to maintain; to preserve; to keep; to transfer (phone call); to put a person through; to hedge; to buy or sell forward
札	札 さつ note; paper money
寧ろ	寧ろ むしろ rather; better; instead
換える	換える かえる to replace; to exchange; to interchange; to substitute
勧める	勧める すすめる to recommend; to advise; to encourage; to offer (wine)
伺う	伺う うかがう to ask; to inquire; to hear; to be told; to implore (a god for an oracle); to seek direction (from your superior); to visit; to speak to (a large crowd at a theatre, etc.)
僅か	僅か わずか only; merely; (a) little; small quantity
莫大	莫大 ばくだい enormous; vast; malva nut
諦める	諦める あきらめる to give up; to abandon (hope, plans); to resign oneself (to)
埃	埃 ほこり dust; one ten-billionth
宜しい	宜しい よろしい good; OK; all right; fine; very well; will do; may; can
掴む	掴む つかむ to seize; to catch; to grasp; to grip; to grab; to hold; to catch hold of; to lay one's hands on; to clutch; to understand; to grasp; to comprehend
叱る	叱る しかる to scold; to chide; to rebuke; to reprimand
溺れる	溺れる おぼれる to drown; to nearly drown; to sink below the surface (of water); to indulge in; to lose one's head over something; to wallow in
吠える	吠える ほえる to bark; to bay; to howl; to bellow; to roar; to cry
籠	籠 かご basket (shopping, etc.); hamper; cage
銅貨	銅貨 どうか copper coin
尤も	尤も もっとも but then; although; though; reasonable; natural; just
怠ける	怠ける なまける to be idle; to slacken; to neglect (e.g. one's work)
諺	諺 ことわざ proverb; maxim
罹る	罹る かかる to suffer from
轢く	轢く ひく to run somebody over (with vehicle); to knock someone down
