底	底 そこ bottom; sole
徹底	徹底 てってい thoroughness; completeness; consistency; thorough enforcement; seeing to it that a policy, etc. is carried out without exception
先日	先日 せんじつ the other day; a few days ago
知恵	知恵 ちえ wisdom; wit; sagacity; sense; intelligence; prajna (insight leading to enlightenment)
範囲	範囲 はんい extent; scope; sphere; range; span
日曜	日曜 にちよう Sunday
皮	皮 かわ skin; hide; pelt; fur; rind; peel; husk; bark; shell; sheath; wrapping; mask (hiding one's true nature); seeming
外交	外交 がいこう diplomacy; selling (e.g. door-to-door); canvassing
女王	女王 じょおう queen
胸	胸 むね chest; breast; breasts; bosom; bust; heart; lungs; stomach; heart; mind; feelings
就職	就職 しゅうしょく finding employment; getting a job
なにも	なにも なにも nothing (with neg. verbs); not any; and everything else (with noun plus "mo"); all
姿	姿 すがた figure; form; shape; appearance; dress; guise; state; condition; picture; image; form (of a waka); dressed in ...; wearing ...
引用	引用 いんよう quotation; citation; reference
王子	王子 おうじ prince; subordinate Kumano shrine
感じる	感じる かんじる to feel; to sense; to experience
主義	主義 しゅぎ doctrine; rule; principle; -ism
支店	支店 してん branch office; branch store
競技	競技 きょうぎ game; match; contest
石油	石油 せきゆ oil; petroleum; kerosene
許可	許可 きょか permission; approval; authorization; license; to permit; to authorize
別に	別に べつに (not) particularly; nothing; separately; apart
確実	確実 かくじつ certainty; reliability; soundness
衣服	衣服 いふく clothes
模様	模様 もよう pattern; figure; design; state; condition; conjecture of the current situation; the way it seems; model; pattern; example; indicates that that noun seems likely (e.g. rain or storm); framework (in go); territorial framework; moyo
約	約 やく approximately; about; promise; shortening; reduction; simplification; contraction (in phonetics)
幸せ	幸せ しあわせ happiness; good fortune; luck; blessing
列	列 れつ queue; line; row; column; sequence; string; train
豪華	豪華 ごうか wonderful; gorgeous; splendor; splendour; pomp; extravagance
平和	平和 へいわ peace; harmony
為る	為る なる to become; to get; to grow; to be; to reach; to attain; to result in; to prove to be; to consist of; to be composed of; to succeed; to be complete; to change into; to be exchanged for; to play a role; to be promoted; to do ...
革	革 かわ leather
優勝	優勝 ゆうしょう overall victory; championship
身長	身長 しんちょう height (of body); stature
予算	予算 よさん estimate; budget
実行	実行 じっこう practice; practising; performance; execution (e.g. program) (programme); realization; realisation; implementation
医師	医師 いし doctor; physician
夫人	夫人 ふじん wife; Mrs; madam; wife of a nobleman (aristocrat, etc.); consort of the emperor
屋根	屋根 やね roof
被害	被害 ひがい (suffering) damage; injury; harm
世紀	世紀 せいき century; era
章	章 しょう chapter; section; medal
立場	立場 たちば standpoint; position; situation
牛	牛 うし cattle (Bos taurus); cow; bull; ox; calf; beef; Chinese "Ox" constellation (one of the 28 mansions)
学者	学者 がくしゃ scholar
船	船 ふね ship; boat; watercraft; vessel; steamship; tank; tub; vat; trough; counter for boat-shaped containers (e.g. of sashimi)
無駄	無駄 むだ futility; uselessness; pointlessness
一種	一種 いっしゅ species; kind; variety
馬	馬 うま horse; horse racing; promoted bishop
農業	農業 のうぎょう agriculture
著者	著者 ちょしゃ author (usu. of a particular book); writer
出会い	出会い であい meeting; rendezvous; encounter; confluence
物理	物理 ぶつり physics; law of nature
