読み方	日本語	英語
はな	鼻	nose
だまる	黙る	become silent, shut one's mouth
こくばん	黒板	blackboard
くろじ	黒字	the black, surplus
くろい	黒い	black, dark
くろ	黒	black
きいろい	黄色い	yellow
きいろ	黄色	yellow
むぎ	麦	wheat
にわとり	鶏	chicken, hen
なる	鳴る	sound, ring, roar
ならす	鳴らす	ring, sound
なく	鳴く	cry, chirp, meow
はと	鳩	pigeon, dove
とり	鳥	bird, poultry
あざやか	鮮やか	vivid
さかな	魚	fish
みりょく	魅力	charm, attraction
かみのけ	髪の毛	hair
かみ	髪	hair, hairstyle
こうれい	高齢	advanced age, elderly
こうそくどうろ	高速道路	freeway, highway
こうそく	高速	high speed
こうきゅう	高級	high rank, high class
こうとうがっこう	高等学校	senior high school
こうとう	高等	higher, high-grade
こうおん	高温	high temperature
こうきあつ	高気圧	high pressure
こうこうせい	高校生	high school student
こうこう	高校	high school
こうど	高度	high degree
こうそう	高層	high altitude, high-rise
こうげん	高原	plateau, highland
こうか	高価	high-priced
たかめる	高める	raise, enhance
たかまる	高まる	rise, increase
たかさ	高さ	height
たかい	高い	high, tall
こっせつ	骨折	fracture, broken bone
ほね	骨	bone, frame, spirit
おどろく	驚く	be surprised, be startled
おどろき	驚き	surprise, amazement
おどろかす	驚かす	surprise, amaze
だます	騙す	deceive, cheat
そうおん	騒音	noise
そうどう	騒動	disturbance, confusion
さわぐ	騒ぐ	make a racket, mess around, make a fuss
さわぎ	騒ぎ	clamor, commotion
さわがしい	騒がしい	noisy
そうぞうしい	騒々しい	noisy, rowdy
ちゅうしゃじょう	駐車場	parking area
ちゅうしゃ	駐車	parking
かけあし	駆け足	gallop, run
かける	駆ける	gallop, run quickly
えきちょう	駅長	stationmaster
えきいん	駅員	station employee
えきまえ	駅前	in front of the station
えき	駅	railway station
だめ	駄目	no good
ばか	馬鹿	fool, nonsense
うま	馬	horse
こうすい	香水	perfume
かおり	香り	perfume, fragrance
しゅと	首都	capital
しゅのう	首脳	head, leader
しゅしょう	首相	prime minister
くび	首	neck
えさ	餌	bait, feed
やしなう	養う	foster, support
もち	餅	rice cake
かざる	飾る	decorate, exhibit
かざり	飾り	ornament, decoration
あきる	飽きる	be fed up
かう	飼う	raise, keep
あめ	飴	candy, sweets
いんりょうすい	飲料水	drinking water
のむ	飲む	drink
のみこむ	飲み込む	swallow, grasp
のみもの	飲み物	beverage, drink
のみみず	飲み水	drinking water
めし	飯	cooked rice, meal
しょくひ	食費	food expenses, board
しょくもつ	食物	food
しょくよく	食欲	appetite
しょくりょう	食料	food supplies
しょくどう	食堂	dining hall, restaurant
しょっき	食器	tableware, dinner set
しょくひん	食品	food, foodstuff
しょくたく	食卓	dining table
しょくじ	食事	meal, dinner
たべもの	食べ物	food
たべる	食べる	eat
しょくぱん	食パン	bread, loaf of bread
くう	食う	eat, live on
ひこうき	飛行機	airplane
ひこうじょう	飛行場	airport, airfield
ひこう	飛行	flight, aviation
とぶ	飛ぶ	fly
とびこむ	飛び込む	dive into
とびだす	飛び出す	fly out, dash out
とびおりる	飛び下りる	jump off, jump down
とびあがる	飛び上がる	fly up, jump up
とばす	飛ばす	fly, shoot
かぜぐすり	風邪薬	remedy for a cold
かぜ	風邪	cold (illness)
ふうせん	風船	balloon
ふうけい	風景	scenery, landscape
ふろや	風呂屋	bathhouse, public bath
ふろば	風呂場	bathroom
ふろ	風呂	bath
かぜ	風	wind
がんしょ	願書	application form
ねがう	願う	wish, ask a favor, apply for
ねがい	願い	wish, request
かおいろ	顔色	complexion, countenance
かおつき	顔付き	face, expression
かお	顔	face
あご	顎	jaw, chin
がく	額	picture frame
ひたい	額	forehead, brow
だいめい	題名	title
だい	題	title, topic
たよる	頼る	rely on, depend on
たのもしい	頼もしい	reliable, dependable
たのむ	頼む	ask, request
たのみ	頼み	request, favor
しきりに	頻りに	frequently, repeatedly
ずつう	頭痛	headache
あたま	頭	head
かしら	頭	head, chief
ほお	頬	cheek
りょういき	領域	territory, domain
りょうど	領土	territory, domain
りょうしゅうしょ	領収書	receipt, voucher
りょうじかん	領事館	consulate
がんばる	頑張る	persist, be tenacious
がんこ	頑固	stubborn, obstinate
がんじょう	頑丈	solid, strong
よきん	預金	deposit, bank account
あずける	預ける	deposit, entrust
あずかる	預かる	receive on deposit, take charge of
じゅんちょう	順調	favorable condition, smooth progress
じゅんばん	順番	order, turn
じゅんじょ	順序	order
じゅんい	順位	order, rank
じゅんじゅんに	順々に	by turns, in order
じゅん	順	order, sequence
こうもく	項目	item, clause
ころ	頃	time
ちょうだい	頂戴	getting, receiving
ちょうじょう	頂上	summit, climax
いただく	頂く	receive, eat
ひびく	響く	reverberate, vibrate
おんよみ	音読み	Chinese-derived kanji reading
おんがく	音楽	music
おと	音	sound, noise
おと	音	sound, speech sound, Chinese pronunciation of a character
ね	音	sound, note
かばん	鞄	bag, handbag, briefcase
くつした	靴下	socks, stockings
くつ	靴	shoes, boots
かくめい	革命	revolution
かわ	革	leather
めんせき	面積	area, square measure
おもしろい	面白い	interesting, amusing
めんせつ	面接	interview
めんどうくさい	面倒臭い	troublesome, tiresome
めんどう	面倒	troublesome, difficult
めんする	面する	face
めん	面	surface, aspect
ひなん	非難	criticism, blame
ひじょうしき	非常識	lack of common sense
ひじょうぐち	非常口	emergency exit
ひじょうに	非常に	very, extremely
ひじょう	非常	emergency, calamity
しずまる	静まる	become quiet, calm down
しずか	静か	quiet, tranquil
あおぞら	青空	blue sky
あおじろい	青白い	pale, pallid
せいしゅん	青春	youth
せいねん	青年	youth, young man
あおい	青い	blue
あお	青	blue, green, green light
つゆ	露	dew, dewdrop
きり	霧	fog, mist
しも	霜	frost
しんど	震度	seismic intensity
ふるえる	震える	tremble, quiver, shake
じゅよう	需要	demand
でんしゃ	電車	train
でんわちょう	電話帳	telephone book
でんわ	電話	telephone, phone call
でんせん	電線	electric wire
でんきゅう	電球	light bulb
でんとう	電灯	lamp, electric light
でんち	電池	electric cell, battery
でんき	電気	electricity, electric light
でんし	電子	electron, electronic
でんぽう	電報	telegram
でんたく	電卓	pocket calculator
でんりょく	電力	electric power, electricity
かみなり	雷	thunder, lightning
れいか	零下	below zero, sub-zero
れい	零	zero, naught
くも	雲	cloud
ふんいき	雰囲気	atmosphere, mood
ゆき	雪	snow, snowfall
あめふり	雨降り	rainfall, rainy weather
うてん	雨天	rainy weather
あまぐ	雨具	rain gear, rainwear
あめ	雨	rain
むずかしい	難しい	difficult
りりく	離陸	takeoff
りこん	離婚	divorce
はなれる	離れる	separate, leave
はなす	離す	separate, detach
ひなまつり	雛祭り	Doll Festival
ざつおん	雑音	noise, interference
ざつだん	雑談	chat, idle talk
ざっし	雑誌	magazine, journal
めす	雌	female
こよう	雇用	employment
やとう	雇う	employ, hire
しゅうだん	集団	group, mass
しゅうごう	集合	gathering, assembly
しゅうちゅう	集中	concentration, convergence
あつめる	集める	collect, gather
あつまる	集まる	gather, be collected
あつまり	集まり	gathering, assembly
ゆうだい	雄大	grand, magnificent
おす	雄	male
すずめ	雀	sparrow
となりあう	隣り合う	adjoin, be next door to each other
となり	隣	neighboring house, next seat
かくれる	隠れる	hide, disappear
かくす	隠す	hide, conceal
しょうがい	障害	obstacle, disorder
しょうじ	障子	paper sliding-door
さい	際	occasion, time
ずいぶん	随分	extremely, considerably
かいだん	階段	steps, flight of stairs
すみ	隅	nook, corner
ようき	陽気	cheerful, bright
けわしい	険しい	steep, craggy
りくじょう	陸上	land, shore
りく	陸	land, shore
おか	陸	land, shore
かげ	陰	shade, behind the scenes
のぞく	除く	rid of, exclude
げんかい	限界	boundary, limit
げんど	限度	limit, bounds
かぎる	限る	be limited to
かぎり	限り	limit, as far as possible
おろす	降ろす	unload, set down
ふる	降る	fall, come down
おりる	降りる	get off, land
ぼうえい	防衛	defense, protection
ぼうか	防火	fire prevention, fireproof
ぼうし	防止	prevention, determent
ふせぐ	防ぐ	prevent, defend
たたかう	闘う	fight
かんれん	関連	connection, relation
かんせつ	関節	joint
かんしん	関心	concern, interest
かんけい	関係	relation, relationship
かかわる	関わる	involve, concern
かんする	関する	concern, relate to
かんかく	間隔	interval, space
まちがえる	間違える	mistake, confuse
まちがう	間違う	be mistaken, be incorrect
まちがい	間違い	mistake, error
まぢか	間近	nearby, close at hand
かんせつ	間接	indirect
まもなく	間も無く	soon, in a short time
まにあわせる	間に合わせる	make do
まにあう	間に合う	be in time, answer the purpose, can do without
あいだ	間	interval
ま	間	interval, duration of time, chamber
かん	間	interval, duration of time
かいはつ	開発	development
かいほう	開放	opening
かいてん	開店	opening of a store, setting up
かいし	開始	beginning
かいさい	開催	holding (of an event), opening
かいかい	開会	opening, start a meeting
あける	開ける	open, unlock
ひらける	開ける	widen, develop
あく	開く	open
ひらく	開く	open
あき	開き	gap, vacancy
へいてん	閉店	shop closing
へいかい	閉会	closing, adjournment
しめる	閉める	shut, close
しまる	閉まる	be shut, be closed
とじる	閉じる	close
もん	門	gate, entrance
ながばなし	長話	long conversation, talk for a long time
ながそで	長袖	clothes with long sleeves
ながつづき	長続き	lasting for a long time
ちょうなん	長男	eldest son
ながいき	長生き	long life, longevity
ちょうき	長期	long period
ちょうほうけい	長方形	rectangle
ながもち	長持ち	endurance, lasting long
ちょうしょ	長所	strong point, merit
ながびく	長引く	be prolonged, drag on
ながねん	長年	many years, long time
ちょうじょ	長女	eldest daughter
ながらく	長らく	for a long time
ながさ	長さ	length
ながい	長い	long
かんしょう	鑑賞	viewing, enjoyment (of art)
かね	鐘	bell, gong
かがみ	鏡	mirror
くさり	鎖	chain, tether
かぎ	鍵	key, lock
なべ	鍋	pan, saucepan
ろくおんテープ	録音テープ	tape
ろくおん	録音	sound recording
ろくが	録画	videotaping
さびる	錆びる	rust, get rusty
するどい	鋭い	pointed, acute
はさみ	鋏	scissors, pincers, tongs
せんとう	銭湯	public bath, bathhouse
どう	銅	copper
ぎんこう	銀行	bank
ぎん	銀	silver
えんぴつ	鉛筆	pencil
てつどう	鉄道	railway
てつ	鉄	iron
どんかん	鈍感	thick-headedness
にぶい	鈍い	dull, sluggish
つる	釣る	angle, fish
つりあう	釣り合う	balance, match
つりあい	釣り合い	balance, proportion
つり	釣り	angling
はり	針	needle, needle-shaped object
くぎ	釘	nail, spike
きんがく	金額	amount of money, sum
きんせん	金銭	money, cash
きんゆう	金融	finance
きんいろ	金色	golden color
きんようび	金曜日	Friday
かねもち	金持ち	wealthy person
きんこ	金庫	strong box, safe
きんぞく	金属	metal
きんり	金利	interest, interest rate
かねもうけ	金もうけ	making money
かね	金	money
きん	金	gold, sum of money, Friday
はかる	量る	measure, weigh
りょう	量	quantity, volume
やさい	野菜	vegetable
やきゅう	野球	baseball
のはら	野原	field, plain
やとう	野党	opposition party
じゅうりょう	重量	weight
じゅうし	重視	importance, value
じゅうよう	重要	important, essential
じゅうてん	重点	important point, emphasis
じゅうやく	重役	executive
じゅうだい	重大	important, serious
おもみ	重み	weight, importance
かさねる	重ねる	pile up, repeat
かさなる	重なる	be piled up, come one after another
おもたい	重たい	heavy
おもさ	重さ	weight
おもい	重い	heavy
しょうゆ	醤油	soy sauce
みにくい	醜い	ugly, bad-looking
さんそ	酸素	oxygen
すっぱい	酸っぱい	sour
す	酢	vinegar
よっぱらう	酔っ払う	get drunk
よっぱらい	酔っ払い	drunkard, boozer
よう	酔う	get drunk
さかや	酒屋	liquor store
さけ	酒	alcoholic drink, Japanese rice wine
はいたつ	配達	delivery
くばる	配る	hand out, distribute, allot
